24_AKM_TRAIL_LOG,TRUE,All CloudTrail::Trails are keeping logs
25_EKM_TRAIL_NOT_ALL_REGIONS,FALSE,All known CloudTrail::Trail log events from all regions
26_AM_VOLUME_NOT_ENCRYPTED,TRUE,All EC2::Volumes are not-encrypted
27_EKM_INSTANCE_PUBLIC,FALSE,There is no EC2::Instance associated with public IP
28_EKM_INSTANCE_USERDATA,FALSE,There is no EC2::Instance with user data
29_EKM_SECURITY_GROUP_OPEN_PORTS_SELF,FALSE,There is no EC2::SecurityGroup that opens all ports to self
30_EM_DECLARED_SECURITYGROUP_UNUSED,FALSE,There is no EC2::SecurityGroup not used
31_EM_LOADBALANCER_ACCESSLOGGINGPOLICY,FALSE,There is no LoadBalancer with Access Logging Policy enabled
32_EM_LOADBALANCER_S3ACCESSLOGS,FALSE,There is no LoadBalancer with S3 Access Logs enabled
33_EM_LOADBALANCER_DELETION_PROTECTED,FALSE,There is no LoadBalancer with Deletion Protection enabled
34_EM_LISTENER_NO_OLD_POLICIES,FALSE,There is no LoadBalancingV2::Listener not using old SSL policies
35_EM_GROUP_INLINE_POLICIES,FALSE,There is no IAM::Group with inline policies
36_EM_GROUP_NO_USERS,FALSE,There is no IAM::Group that is not linked to any user
37_AKM_USERS_PWDRESET,TRUE,All known IAM::Users have password reset required
38_EM_ROLE_INLINE_POLICIES,TRUE,There is at least one IAM::Role with inline policies,(awsserverless_all_policy_templates_kitchensinkfunctionrole *** awsserverless_basic_function_functionwithpolicydocumentrole *** awsserverless_basic_function_myfunctionrole *** awsserverless_function_managed_inline_policy_functionrole *** awsserverless_function_with_dlq_mysnsdlqlambdafunctionrole *** awsserverless_function_with_dlq_mysqsdlqlambdafunctionrole *** awsserverless_function_with_policy_templates_allcombinationsrole *** awsserverless_function_with_policy_templates_multiplepolicytemplatesrole *** awsserverless_function_with_policy_templates_onepolicytemplaterole *** awsserverless_intrinsic_functions_mysnsdlqlambdafunctionrole *** awsserverless_intrinsic_functions_mysqsdlqlambdafunctionrole)
39_EM_USER_WITH_LOGINPROFILE,FALSE,There is no IAM::User with password in template
40_EM_ACCESSKEY_ROTATING,FALSE,There is no IAM::User that is linked to a key that is rotating
41_AKM_USER_ONE_ACCESSKEY,TRUE,All IAM::Users have max one access key
42_EM_USER_INLINE_POLICIES,FALSE,There is no IAM::User with inline policies
43_AKM_RDS_BACKUP,TRUE,All known RDS::DBInstances have backup retention different from 0
44_AM_RDS_MINORUPGRADE,TRUE,All RDS::DBInstance have auto minor upgrade enabled
45_EM_RDS_SHORT_BACKUP,FALSE,There is no RDS::DBInstance that retains backups for one day
46_EM_DECLARED_RDS_ONEAZ,FALSE,There is not RDS::DBInstance replicated only on one availability zone
47_AKM_RDS_ENCRYPTED,TRUE,All known RDS::DBInstances are encrypted
48_EKM_RDS_SECURITYGROUP_OPEN,FALSE,All known RDS::DBInstances are not linked to an open security group
49_AKM_BUCKETS_VERSIONING,FALSE,There are S3::Buckets - declared in this template - that have versioning disabled.,(awsserverless_function_with_alias_and_event_sources_images *** awsserverless_function_with_resource_refs_mybucket *** awsserverless_no_implicit_api_with_serverless_rest_api_resource_images *** awsserverless_s3_create_remove_images *** awsserverless_s3_existing_lambda_notification_configuration_images *** awsserverless_s3_existing_other_notification_configuration_images *** awsserverless_s3_filter_images *** awsserverless_s3_images *** awsserverless_s3_multiple_events_same_bucket_images *** awsserverless_s3_multiple_functions_images *** awsserverless_s3_with_dependson_images)
50_EKM_VPC_OPEN_NETWORK_ACL,FALSE,There is no known EC2::VPC with a Network Acl that is open to all
51_EM_NETWORKACL_NOT_USED,FALSE,There is not EC2::NetworkAcl that is not used
52_EM_SUBNET_BAD_ACL,FALSE,There is no EC2::Subnet with bad ACL
53_EM_SUBNET_NO_FLOWLOG,FALSE,There is no EC2::Subnet without FlowLog
